"Postal code area";"Inhabitants, total, 2016 (HE)";"Females, 2016 (HE)";"Males, 2016 (HE)";"Average age of inhabitants, 2016 (HE)";"0-2 years, 2016 (HE)";"3-6 years, 2016 (HE)";"7-12 years, 2016 (HE)";"13-15 years, 2016 (HE)";"16-17 years, 2016 (HE)";"18-19 years, 2016 (HE)";"20-24 years, 2016 (HE)";"25-29 years, 2016 (HE)";"30-34 years, 2016 (HE)";"35-39 years, 2016 (HE)";"40-44 years, 2016 (HE)";"45-49 years, 2016 (HE)";"50-54 years, 2016 (HE)";"55-59 years, 2016 (HE)";"60-64 years, 2016 (HE)";"65-69 years, 2016 (HE)";"70-74 years, 2016 (HE)";"75-79 years, 2016 (HE)";"80-84 years, 2016 (HE)";"85 years or over, 2016 (HE)"
"90100 Oulu Keskus   (Oulu )";8211;4451;3760;43;103;102;140;88;93;202;1605;1147;625;416;289;279;365;400;485;487;406;356;302;321
"90120 Heinäpää   (Oulu )";6763;3611;3152;41;96;104;144;79;65;166;1170;1044;590;386;254;271;331;347;378;373;264;288;212;201
"90130 Raksila   (Oulu )";6200;3361;2839;41;138;169;160;50;84;167;958;891;563;363;226;226;260;312;341;363;279;269;200;181
"90140 Karjasilta   (Oulu )";3185;1758;1427;45;53;84;171;97;55;78;317;254;191;186;161;153;203;193;191;185;149;136;141;187
"90150 Höyhtyä   (Oulu )";5817;2919;2898;41;156;218;334;131;130;149;618;431;422;399;288;305;357;392;386;319;269;224;140;149
"90220 Kontinkangas   (Oulu )";666;366;300;35;10;11;19;12;21;24;169;102;42;27;36;25;27;46;31;26;13;14;6;5
"90230 Värttö-Maikkula   (Oulu )";7341;3885;3456;41;191;274;421;187;172;176;648;658;494;399;378;425;516;545;480;435;337;302;177;126
"90240 Iinatti   (Oulu )";6246;3152;3094;39;225;285;436;200;153;172;357;403;426;429;374;382;475;525;541;393;221;148;66;35
"90250 Kaukovainio   (Oulu )";6795;3455;3340;39;217;226;267;134;141;229;1086;706;476;330;316;318;367;410;394;350;249;238;177;164
"90310 Madekoski   (Oulu )";2876;1383;1493;35;122;172;348;174;94;96;114;106;188;207;207;236;221;140;155;120;59;61;38;18
"90400 Äimärautio   (Oulu )";1146;612;534;35;12;7;8;4;12;62;359;217;89;45;18;40;40;51;48;48;39;22;22;3
"90410 Kaakkuri   (Oulu )";4174;2066;2108;37;168;238;342;181;128;115;202;255;286;288;248;328;407;341;233;165;101;79;42;27
"90420 Metsokangas   (Oulu )";10566;5301;5265;28;600;1026;1469;472;256;287;748;740;866;1043;946;596;464;270;251;230;122;91;52;37
"90440 Kempele Keskus   (Kempele )";9283;4699;4584;39;355;541;803;373;237;251;502;515;578;554;565;610;586;587;495;580;413;384;209;145
"90450 Honkanen   (Kempele )";7748;3849;3899;33;366;643;965;419;247;192;247;305;513;673;655;569;505;385;327;301;218;114;70;34
"90460 Oulunsalo Keskus   (Oulu )";8790;4359;4431;34;439;622;1027;457;285;263;362;402;589;633;686;602;503;427;424;407;283;188;108;83
"90470 Varjakka   (Oulu )";1235;587;648;34;63;88;163;80;40;41;42;37;60;89;92;69;65;71;85;50;38;36;18;8
"90480 Hailuoto   (Hailuoto )";985;478;507;50;25;39;53;22;9;17;22;31;34;41;49;64;63;78;86;106;109;66;39;32
"90500 Tuira   (Oulu )";8223;4408;3815;44;177;183;171;87;85;222;1216;902;655;443;337;328;393;467;521;548;452;377;339;320
"90510 Hietasaari   (Oulu )";1779;946;833;40;81;59;59;30;31;42;145;190;191;156;92;95;105;130;89;105;73;38;27;41
"90520 Taskila-Toppila   (Oulu )";5404;2604;2800;35;188;232;279;131;88;180;739;599;500;364;320;337;308;327;285;252;149;64;42;20
"90530 Välivainio   (Oulu )";5739;2859;2880;39;126;139;165;66;63;162;1065;723;477;298;233;267;310;355;357;322;268;155;110;78
"90540 Kuivasjärvi   (Oulu )";11731;5826;5905;29;744;1108;1607;591;323;185;418;694;1019;1283;1081;694;548;407;388;340;161;80;28;32
"90550 Pyykösjärvi-Puolivälikangas   (Oulu )";4456;2318;2138;42;143;183;274;110;84;116;371;296;316;282;218;187;268;277;333;315;217;166;153;147
"90560 Koskela-Oulu   (Oulu )";2934;1495;1439;43;67;112;149;68;60;72;268;206;201;166;163;173;200;216;194;154;154;151;92;68
"90570 Kaijonharju-Linnanmaa   (Oulu )";7507;3291;4216;32;260;281;277;111;63;162;1668;1373;980;542;300;246;235;279;264;200;128;69;36;33
"90580 Rajakylä   (Oulu )";4388;2107;2281;41;143;165;249;141;103;124;308;266;272;294;302;302;310;311;297;267;204;162;90;78
"90590 Teknologiakylä   (Oulu )";1;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"90620 Rusko-Heikinharju   (Oulu )";560;241;319;41;28;27;44;16;4;8;18;32;37;41;37;44;40;35;42;42;26;24;6;9
"90630 Korvensuora   (Oulu )";7339;3595;3744;34;356;565;756;307;206;167;270;440;618;657;642;533;472;363;350;295;147;100;49;46
"90650 Haapalehto   (Oulu )";10473;5273;5200;40;340;499;793;390;278;257;556;588;702;670;696;702;818;667;626;659;500;347;197;188
"90660 Sanginsuu   (Oulu )";629;289;340;45;11;22;54;26;14;13;16;15;27;27;37;50;55;65;58;63;30;20;12;14
"90670 Hiukkavaara   (Oulu )";1644;808;836;27;201;194;114;28;22;20;94;199;220;175;85;59;61;49;41;30;19;8;8;17
"90800 Pateniemi   (Oulu )";8084;4016;4068;40;254;438;656;350;243;199;283;326;445;507;534;625;703;661;541;453;327;249;168;122
"90810 Kiviniemi   (Oulu )";2883;1438;1445;38;87;153;311;153;104;76;86;74;153;177;262;251;221;193;180;179;121;59;32;11
"90820 Kello   (Oulu )";3373;1642;1731;36;144;231;400;191;118;75;90;111;178;262;269;257;196;174;211;201;101;81;49;34
"90830 Haukipudas Keskus   (Oulu )";8300;4231;4069;37;333;586;870;409;256;196;321;286;457;628;627;579;479;465;465;462;293;247;189;152
"90840 Haukipudas Asemanseutu   (Oulu )";1942;914;1028;33;81;145;262;124;85;61;65;73;112;136;153;98;117;101;103;107;67;30;12;10
"90850 Martinniemi   (Oulu )";2323;1134;1189;36;107;183;261;100;64;45;58;109;164;202;172;140;140;136;133;93;94;55;43;24
"90860 Halosenniemi   (Oulu )";537;254;283;40;22;35;60;29;18;12;11;13;17;36;33;31;34;35;53;43;22;11;14;8
"90900 Kiiminki Keskus   (Oulu )";6791;3370;3421;35;312;485;832;399;216;173;249;285;387;542;483;414;399;327;333;355;237;183;93;87
"90910 Kontio   (Oulu )";1722;821;901;31;95;177;244;113;87;42;45;61;85;136;141;109;88;94;69;64;26;20;18;8
"90940 Jääli   (Oulu )";5110;2516;2594;37;197;285;538;270;149;140;170;218;301;357;419;423;379;292;294;291;206;98;48;35
"91100 Ii Keskus   (Ii )";6532;3209;3323;36;327;465;743;301;185;155;273;335;429;413;394;349;394;389;352;349;214;175;164;126
"91110 Ii Asemanseutu   (Ii )";869;419;450;37;40;57;94;51;32;23;31;31;37;64;49;46;58;51;64;53;31;34;16;7
"91140 Olhava   (Ii )";375;159;216;49;4;9;25;13;4;7;14;10;14;13;24;21;35;34;36;38;22;18;15;19
"91150 Yli-Olhava   (Ii )";165;74;91;47;4;9;8;8;4;4;3;8;6;5;7;9;13;16;17;14;8;8;7;7
"91200 Yli-Ii Keskus   (Oulu )";1265;616;649;41;61;84;118;70;41;26;44;49;66;57;43;74;72;92;88;75;52;54;53;46
"91210 Jakkukylä   (Oulu )";467;214;253;37;22;37;56;25;17;12;26;13;23;28;12;20;34;36;20;18;18;20;12;18
"91240 Tannila   (Oulu )";193;90;103;51;1;5;15;6;4;5;4;2;7;6;13;7;16;18;23;22;7;10;14;8
"91260 Pahkakoski-Räinä   (Oulu )";118;51;67;53;2;6;4;0;0;0;2;0;7;4;5;2;17;12;22;14;7;12;1;1
"91300 Ylikiiminki Keskus   (Oulu )";3257;1509;1748;39;131;261;379;151;78;37;75;134;183;212;176;194;196;210;239;228;145;100;66;62
"91310 Arkala   (Oulu )";212;97;115;36;10;19;20;11;4;2;5;16;14;13;14;12;14;20;14;14;2;5;0;3
